"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"3936",194.329283990143,-2.76736048000235,0.656618372140853,-4.21456449806542,2.50260627810074e-05,0.00573983837378574
"9750",72.9002430177965,-3.52924081976558,0.838799155733101,-4.20749209824975,2.58220429505134e-05,0.00578179741334974
"8530",23.0322041623595,-6.2583962154331,1.48751884435919,-4.20727188711963,2.58472095855913e-05,0.00578179741334974
"107984859",45.2381775097687,2.00735223974703,0.477747465598356,4.20170149355563,2.64916306326308e-05,0.00585368116381265
"27106",538.052581675938,1.33145662817084,0.31750989583776,4.19343348231006,2.74763671761325e-05,0.00599812405860656
"2268",70.9764161903471,-3.1762926850388,0.759118054724159,-4.18418803935966,2.86187152260411e-05,0.00612435962012955
"6590",10.3209270346749,-6.85519739451743,1.63870522915104,-4.18330110417046,2.87306456046698e-05,0.00612435962012955
"3937",44.5285743166127,-4.09292158081082,0.979375157354853,-4.17911517366358,2.92645461147986e-05,0.00616563152388414
"6556",123.311079749552,-2.83926337244191,0.680431500575166,-4.17273946024235,3.00959024976594e-05,0.00626790410752979
"4597",7878.97709016559,2.02615150642659,0.486392549237423,4.16567134838564,3.1043765362691e-05,0.0063918407341659
"11240",20.3961656201366,-4.82013974426008,1.16616430251791,-4.13332815440562,3.57547654201987e-05,0.00711912741372067
"7832",1718.58032680777,-1.51781312623957,0.366912136370792,-4.13672096336903,3.52304093082877e-05,0.00711912741372067
"4311",11.6861327716406,-6.05882229786349,1.46548979923757,-4.13433263132614,3.55987570045722e-05,0.00711912741372067
"199800",102.285370240405,2.15633772219179,0.52533549823022,4.1046868704974,4.04862891761844e-05,0.0078877015035537
"284739",56.0582476835863,3.42563262726276,0.834071353480683,4.10712178636417,4.0062002160469e-05,0.0078877015035537
"27128",62.6304183284559,-3.29533955854469,0.803306735144156,-4.10221826156273,4.09207981309149e-05,0.0078877015035537
"2124",41.8359440532222,-3.33745439901262,0.815244115275645,-4.09380986195059,4.24342332600252e-05,0.00809332497303575
"201799",16.7979921894713,-4.25001645021335,1.04190474942715,-4.07908347912805,4.52136002997996e-05,0.00844562086424813
"10875",33.4549378109813,-3.79978239220646,0.931179705832467,-4.08061125946628,4.49174226711264e-05,0.00844562086424813
"727800",463.948874100544,1.56001543245299,0.383446406153136,4.06840540795153,4.7335970189521e-05,0.0086634388269084
"161882",2213.63997352247,1.17082342206861,0.28763566527751,4.07050850574807,4.69106282069789e-05,0.0086634388269084
"1365",970.308128543985,1.37442384390011,0.33890108500466,4.05553096379498,5.00205452999224e-05,0.0089337126407277
"3039",49947.8771155717,-7.11742528994136,1.75457716549362,-4.05649032138122,4.98156257972895e-05,0.0089337126407277
"22861",23.6636288636026,-3.29228561910206,0.812054592829574,-4.05426636112014,5.0291886381932e-05,0.0089337126407277
"3579",98.6750317621565,-3.4651759804943,0.856758154078139,-4.04452057327985,5.24303043976695e-05,0.00922315228525605
"5575",1431.86903690235,1.12814385846577,0.279702164586874,4.03337550187378,5.49813158452086e-05,0.0094876805885651
"3689",252.884212809341,-2.82303988424679,0.699829083792637,-4.0338990613932,5.48588906784313e-05,0.0094876805885651
"518",1348.3105591757,-1.10373183674575,0.274432263132674,-4.02187346395257,5.77370739388285e-05,0.00986922681790221
"345222",463.458435006033,1.4653453149971,0.36456348689389,4.01945166665472,5.83337468818025e-05,0.00987802953038672
"9467",2086.1145608632,1.81901795924189,0.453149307112221,4.01416912856806,5.9655561256346e-05,0.0099165056367315
"101929594",33.1792897504112,4.60103015602451,1.14601185209627,4.01481899825762,5.94914319180859e-05,0.0099165056367315
"107984847",46.8624191024588,-3.59407417261766,0.896866827055831,-4.00736660582711,6.13995190185726e-05,0.0101136171372501
"11151",174.440190185499,-3.3746363462756,0.843518990332621,-4.0006643418246,6.31649017013233e-05,0.0102186147671989
"23460",673.09562053636,-1.39940737889583,0.349649494591682,-4.00231489117423,6.27257392006542e-05,0.0102186147671989
